date,value
2025-03-06,4.669240897042411e-10
2025-03-07,4.690669468470982e-10
2025-03-10,4.652767944335938e-10
2025-03-11,4.659955269949777e-10
2025-03-12,4.723348127092634e-10
2025-03-13,4.789106968470982e-10
2025-03-14,4.83955339704241e-10
2025-03-17,4.849151611328125e-10
2025-03-18,4.822410801478795e-10
2025-03-19,4.4019195556640627e-10
2025-03-20,4.379866245814732e-10
2025-03-21,4.0377676827566964e-10
2025-03-24,4.151518031529018e-10
2025-03-25,4.337321254185268e-10
2025-03-26,4.3078125e-10
2025-03-27,4.291428484235491e-10
2025-03-28,4.3122767857142855e-10
2025-04-02,4.158646202920306e-10
2025-04-03,4.1416156352347163e-10
2025-04-04,4.0959824474617906e-10
2025-04-07,4.107947683542576e-10
2025-04-08,4.1384714451419215e-10
2025-04-09,4.0504366812227074e-10
2025-04-10,4.077991095796943e-10
2025-04-11,4.0965065502183405e-10
2025-04-14,4.115108999727074e-10
2025-04-15,4.1020959845796944e-10
2025-04-16,4.046331707150655e-10
2025-04-17,4.103056768558952e-10
2025-04-18,4.068646373498908e-10
2025-04-21,4.0705675150109173e-10
2025-04-22,4.0664190433951966e-10
2025-04-24,4.1444979871724893e-10
2025-04-25,4.119039130731441e-10
2025-04-28,4.064192139737991e-10
2025-04-29,4.02829685794214e-10
2025-04-30,3.964366982805677e-10
2025-05-02,3.917777610844017e-10
2025-05-05,3.8941026475694445e-10
2025-05-06,3.903718032184829e-10
2025-05-07,3.878034021100427e-10
2025-05-08,3.9654701689369656e-10
2025-05-09,4.013034188034188e-10
2025-05-12,4.16542718349359e-10
2025-05-13,4.145384698851496e-10
2025-05-14,4.145982739049145e-10
2025-05-15,4.077478549011752e-10
2025-05-16,4.1317950387286326e-10
2025-05-20,4.065811965811966e-10
2025-05-21,4.0166240985576924e-10
2025-05-22,4.04923085269765e-10
2025-05-23,3.998290598290598e-10
2025-05-26,3.993675297142094e-10
2025-05-27,3.937435730502137e-10
2025-05-28,3.9220941005608976e-10
2025-05-29,3.919059662126068e-10
2025-05-30,3.854529747596154e-10
2025-06-02,3.769414389382845e-10
2025-06-03,3.881589958158996e-10
2025-06-04,3.9644351464435144e-10
2025-06-05,3.9692885394874475e-10
2025-06-10,4.0415480354341006e-10
2025-06-11,4.052761342834728e-10
2025-06-12,3.9833473620554394e-10
2025-06-13,3.8961926320606696e-10
2025-06-16,3.912133891213389e-10
2025-06-17,3.90778226333682e-10
2025-06-18,3.847740422332636e-10
2025-06-19,3.80836820083682e-10
2025-06-20,3.850795142520921e-10
2025-06-23,3.82481163376046e-10
2025-06-24,3.9535148077928873e-10
2025-06-25,3.940794979079498e-10
2025-06-26,3.8916734767259416e-10
2025-06-27,3.935104765951883e-10
2025-06-30,4.16255230125523e-10
2025-07-01,4.131311635502049e-10
2025-07-02,4.1758196721311473e-10
2025-07-03,4.191967373206967e-10
2025-07-04,4.2113933625768443e-10
2025-07-07,4.1425000800461065e-10
2025-07-08,4.0976230308657787e-10
2025-07-09,4.16692614946209e-10
2025-07-10,4.2341392642161886e-10
2025-07-11,4.245286885245902e-10
2025-07-14,4.19077868852459e-10
2025-07-16,4.148155737704918e-10
2025-07-17,4.2502869652920084e-10
2025-07-18,4.248442702996926e-10
2025-07-21,4.350901719390369e-10
2025-07-22,4.350860495645492e-10
2025-07-23,4.3409836065573773e-10
2025-07-24,4.380778528432377e-10
2025-07-25,4.3617211513831966e-10
2025-07-28,4.3205326267930327e-10
2025-07-29,4.298073690445697e-10
2025-07-30,4.3520491803278687e-10
2025-07-31,4.4029508997182376e-10
2025-08-01,4.3160642570281124e-10
2025-08-04,4.358835341365462e-10
2025-08-05,4.357429718875502e-10
2025-08-06,4.377911646586345e-10
2025-08-07,4.40004000376506e-10
2025-08-08,4.406666509789157e-10
2025-08-11,4.4330521303965865e-10
2025-08-12,4.399397590361446e-10
2025-08-13,4.397590361445783e-10
2025-08-14,4.3472287587851406e-10
2025-08-15,4.36570265436747e-10
2025-08-18,4.389477833207831e-10
2025-08-19,4.402409638554217e-10
2025-08-20,4.4717671467118474e-10
2025-08-21,4.5437350966365464e-10
2025-08-22,4.5671886765813255e-10
2025-08-25,4.609558154492972e-10
2025-08-26,4.630441688629518e-10
2025-08-27,4.561847389558233e-10
2025-08-28,4.5657830540913655e-10
2025-08-29,4.5333733370983934e-10
2025-09-01,4.423529411764706e-10
2025-09-02,4.265686274509804e-10
2025-09-03,4.2108628216911765e-10
2025-09-04,4.2466276041666664e-10
2025-09-05,4.2076470588235296e-10
2025-09-08,4.097804074754902e-10
2025-09-09,4.112195925245098e-10
2025-09-10,4.151490119485294e-10
